Time,X,Y,Theta,Mode
52.5,525,0,0,straight
52.6,526,0,0,straight
52.7,527,0,0,straight
52.8,528,0,0,straight
52.9,529,0,0,straight
53,530,0,0,straight
53.1,531,0,0,straight
53.2,532,0,0,straight
53.3,533,0,0,straight
53.4,534,0,0,straight
53.5,535,0,0,straight
53.6,536,0,0,straight
53.7,537,0,0,straight
53.8,538,0,0,straight
53.9,539,0,0,straight
54,540,0,0,straight
54.1,541,0,0,straight
54.2,542,0,0,straight
54.3,543,0,0,straight
54.4,544,0,0,straight
54.5,545,0,0,straight
54.6,546,0,0,straight
54.7,547,0,0,straight
54.8,548,0,0,straight
54.9,549,0,0,straight
55,550,0,0,straight
55.1,551,0,0,straight
55.2,552,0,0,straight
55.3,553,0,0,straight
55.4,554,0,0,straight
55.5,555,0,0,straight
55.6,556,0,0,straight
55.7,557,0,0,straight
55.8,558,0,0,straight
55.9,559,0,0,straight
56,560,0,0,straight
56.1,561,0,0,straight
56.2,562,0,0,straight
56.3,563,0,0,straight
56.4,564,0,0,straight
56.5,565,0,0,straight
56.6,566,0,0,straight
56.7,567,0,0,straight
56.8,568,0,0,straight
56.9,569,0,0,straight
57,570,0,0,straight
57.1,571,0,0,straight
57.2,572,0,0,straight
57.3,573,0,0,straight
57.4,574,0,0,straight
57.5,575,0,0,straight
57.6,576,0,0,straight
57.7,577,0,0,straight
57.8,578,0,0,straight
57.9,579,0,0,straight
58,580,0,0,straight
58.1,581,0,0,straight
58.2,582,0,0,straight
58.3,583,0,0,straight
58.4,584,0,0,straight
58.5,585,0,0,straight
58.6,586,0,0,straight
58.7,587,0,0,straight
58.8,588,0,0,straight
58.9,589,0,0,straight
59,590,0,0,straight
59.1,591,0,0,straight
59.2,592,0,0,straight
59.3,593,0,0,straight
59.4,594,0,0,straight
59.5,595,0,0,straight
59.6,596,0,0,straight
59.7,597,0,0,straight
59.8,598,0,0,straight
59.9,599,0,0,straight
60,600,0,0,straight
60.1,601,0,0,straight
60.2,602,0,0,straight
60.3,603,0,0,straight
60.4,604,0,0,straight
60.5,605,0,0,straight
60.6,606,0,0,straight
60.7,607,0,0,straight
60.8,608,0,0,straight
60.9,609,0,0,straight
61,610,0,0,straight
61.1,611,0,0,straight
61.2,612,0,0,straight
61.3,613,0,0,straight
61.4,614,0,0,straight
61.5,615,0,0,straight
61.6,616,0,0,straight
61.7,617,0,0,straight
61.8,618,0,0,straight
61.9,619,0,0,straight
62,620,0,0,straight
62.1,621,0,0,straight
